episode,score,mean_score,epsilon,loss
1,0,0.0000,0.9995,
2,0,0.0000,0.9990,
3,0,0.0000,0.9985,
4,0,0.0000,0.9980,
5,0,0.0000,0.9976,
6,0,0.0000,0.9971,
7,0,0.0000,0.9966,2.540330
8,0,0.0000,0.9961,2.338339
9,0,0.0000,0.9956,2.077811
10,0,0.0000,0.9951,1.701993
11,0,0.0000,0.9946,1.414994
12,0,0.0000,0.9941,1.880937
13,0,0.0000,0.9936,1.057944
14,0,0.0000,0.9931,1.286373
15,0,0.0000,0.9927,1.221837
16,0,0.0000,0.9922,0.931382
17,0,0.0000,0.9917,1.177479
18,0,0.0000,0.9912,0.833471
19,0,0.0000,0.9907,0.573682
20,0,0.0000,0.9902,0.576596
21,0,0.0000,0.9897,0.112182
22,0,0.0000,0.9892,0.085066
23,0,0.0000,0.9887,0.088606
24,0,0.0000,0.9882,0.050875
