episode,score,mean_score,epsilon,loss
1,0,0.0000,0.9995,
2,0,0.0000,0.9990,
3,0,0.0000,0.9985,
4,0,0.0000,0.9980,
5,0,0.0000,0.9976,
6,0,0.0000,0.9971,
7,0,0.0000,0.9966,2.540330
8,0,0.0000,0.9961,2.338339
9,0,0.0000,0.9956,2.077811
10,0,0.0000,0.9951,1.701993
11,0,0.0000,0.9946,1.414994
12,0,0.0000,0.9941,1.880937
13,0,0.0000,0.9936,1.057944
14,0,0.0000,0.9931,1.286373
15,0,0.0000,0.9927,1.221837
16,0,0.0000,0.9922,0.931382
17,0,0.0000,0.9917,1.177479
18,0,0.0000,0.9912,0.833471
19,0,0.0000,0.9907,0.573682
20,0,0.0000,0.9902,0.576596
21,0,0.0000,0.9897,0.112182
22,0,0.0000,0.9892,0.085066
23,0,0.0000,0.9887,0.088606
24,0,0.0000,0.9882,0.050875
25,0,0.0000,0.9878,0.103215
26,0,0.0000,0.9873,0.111403
27,0,0.0000,0.9868,0.070274
28,0,0.0000,0.9863,0.053359
29,0,0.0000,0.9858,0.055964
30,0,0.0000,0.9853,0.032163
31,0,0.0000,0.9848,0.062013
32,0,0.0000,0.9843,0.035926
33,0,0.0000,0.9838,0.071460
34,0,0.0000,0.9833,0.074328
35,0,0.0000,0.9829,0.067751
36,0,0.0000,0.9824,0.044809
37,0,0.0000,0.9819,0.037317
38,0,0.0000,0.9814,0.072047
39,0,0.0000,0.9809,0.169667
40,0,0.0000,0.9804,0.101346
41,0,0.0000,0.9799,0.041397
42,0,0.0000,0.9794,0.088956
43,0,0.0000,0.9789,0.116736
44,0,0.0000,0.9784,0.065238
45,0,0.0000,0.9779,0.051527
46,0,0.0000,0.9775,0.055248
47,0,0.0000,0.9770,0.223638
48,0,0.0000,0.9765,0.240254
49,0,0.0000,0.9760,0.119519
50,0,0.0000,0.9755,0.092900
51,0,0.0000,0.9750,0.123018
52,0,0.0000,0.9745,0.118561
53,0,0.0000,0.9740,0.131864
54,0,0.0000,0.9735,0.074667
55,0,0.0000,0.9730,0.071204
56,0,0.0000,0.9726,0.144165
57,0,0.0000,0.9721,0.063737
58,0,0.0000,0.9716,0.096619
59,0,0.0000,0.9711,0.136630
60,0,0.0000,0.9706,0.256147
61,0,0.0000,0.9701,0.117446
62,0,0.0000,0.9696,0.086222
63,0,0.0000,0.9691,0.072185
64,0,0.0000,0.9686,0.060037
65,0,0.0000,0.9681,0.082281
66,0,0.0000,0.9677,0.087260
67,0,0.0000,0.9672,0.089564
68,0,0.0000,0.9667,0.062559
69,0,0.0000,0.9662,0.036261
70,0,0.0000,0.9657,0.036083
71,0,0.0000,0.9652,0.065717
72,0,0.0000,0.9647,0.090405
73,0,0.0000,0.9642,0.056154
74,0,0.0000,0.9637,0.066478
75,0,0.0000,0.9633,0.066537
76,0,0.0000,0.9628,0.074226
77,0,0.0000,0.9623,0.048357
78,0,0.0000,0.9618,0.048730
79,0,0.0000,0.9613,0.031544
80,0,0.0000,0.9608,0.035790
81,0,0.0000,0.9603,0.029281
82,0,0.0000,0.9598,0.043873
83,0,0.0000,0.9593,0.046096
84,0,0.0000,0.9588,0.031545
85,0,0.0000,0.9584,0.032675
86,0,0.0000,0.9579,0.026986
87,0,0.0000,0.9574,0.043884
88,0,0.0000,0.9569,0.035208
89,0,0.0000,0.9564,0.026366
90,0,0.0000,0.9559,0.031794
91,0,0.0000,0.9554,0.029243
92,0,0.0000,0.9549,0.024307
93,0,0.0000,0.9544,0.017460
94,0,0.0000,0.9539,0.021193
95,0,0.0000,0.9535,0.015189
96,0,0.0000,0.9530,0.021132
97,0,0.0000,0.9525,0.020113
98,0,0.0000,0.9520,0.021178
99,0,0.0000,0.9515,0.023167
100,0,0.0000,0.9510,0.050241
101,0,0.0000,0.9505,0.011177
102,0,0.0000,0.9500,0.015785
103,0,0.0000,0.9495,0.009589
104,0,0.0000,0.9490,0.011926
105,0,0.0000,0.9486,0.005471
106,0,0.0000,0.9481,0.007344
107,0,0.0000,0.9476,0.006192
108,0,0.0000,0.9471,0.010867
109,0,0.0000,0.9466,0.071494
110,0,0.0000,0.9461,0.010505
111,0,0.0000,0.9456,0.011277
112,0,0.0000,0.9451,0.006511
113,0,0.0000,0.9446,0.008740
114,0,0.0000,0.9441,0.004909
115,0,0.0000,0.9436,0.003928
116,0,0.0000,0.9432,0.003528
117,0,0.0000,0.9427,0.010942
118,0,0.0000,0.9422,0.008662
119,0,0.0000,0.9417,0.004794
120,0,0.0000,0.9412,0.004790
121,0,0.0000,0.9407,0.002689
122,0,0.0000,0.9402,0.005187
123,0,0.0000,0.9397,0.002802
124,0,0.0000,0.9392,0.008790
125,0,0.0000,0.9387,0.002644
126,0,0.0000,0.9383,0.002883
127,0,0.0000,0.9378,0.007817
128,0,0.0000,0.9373,0.005078
129,0,0.0000,0.9368,0.002989
