episode,score,mean_score,epsilon,loss
1,0,0.0000,0.9995,
2,0,0.0000,0.9990,
3,0,0.0000,0.9985,
4,0,0.0000,0.9980,
5,0,0.0000,0.9976,
6,0,0.0000,0.9971,
7,0,0.0000,0.9966,2.540330
8,0,0.0000,0.9961,2.338339
9,0,0.0000,0.9956,2.077811
10,0,0.0000,0.9951,1.701993
11,0,0.0000,0.9946,1.414994
12,0,0.0000,0.9941,1.880937
13,0,0.0000,0.9936,1.057944
14,0,0.0000,0.9931,1.286373
15,0,0.0000,0.9927,1.221837
16,0,0.0000,0.9922,0.931382
17,0,0.0000,0.9917,1.177479
18,0,0.0000,0.9912,0.833471
19,0,0.0000,0.9907,0.573682
20,0,0.0000,0.9902,0.576596
21,0,0.0000,0.9897,0.112182
22,0,0.0000,0.9892,0.085066
23,0,0.0000,0.9887,0.088606
24,0,0.0000,0.9882,0.050875
25,0,0.0000,0.9878,0.103215
26,0,0.0000,0.9873,0.111403
27,0,0.0000,0.9868,0.070274
28,0,0.0000,0.9863,0.053359
29,0,0.0000,0.9858,0.055964
30,0,0.0000,0.9853,0.032163
31,0,0.0000,0.9848,0.062013
32,0,0.0000,0.9843,0.035926
33,0,0.0000,0.9838,0.071460
34,0,0.0000,0.9833,0.074328
35,0,0.0000,0.9829,0.067751
36,0,0.0000,0.9824,0.044809
37,0,0.0000,0.9819,0.037317
38,0,0.0000,0.9814,0.072047
39,0,0.0000,0.9809,0.169667
40,0,0.0000,0.9804,0.101346
41,0,0.0000,0.9799,0.041397
42,0,0.0000,0.9794,0.088956
43,0,0.0000,0.9789,0.116736
44,0,0.0000,0.9784,0.065238
45,0,0.0000,0.9779,0.051527
46,0,0.0000,0.9775,0.055248
47,0,0.0000,0.9770,0.223638
48,0,0.0000,0.9765,0.240254
49,0,0.0000,0.9760,0.119519
50,0,0.0000,0.9755,0.092900
51,0,0.0000,0.9750,0.123018
52,0,0.0000,0.9745,0.118561
53,0,0.0000,0.9740,0.131864
54,0,0.0000,0.9735,0.074667
55,0,0.0000,0.9730,0.071204
56,0,0.0000,0.9726,0.144165
57,0,0.0000,0.9721,0.063737
58,0,0.0000,0.9716,0.096619
59,0,0.0000,0.9711,0.136630
60,0,0.0000,0.9706,0.256147
61,0,0.0000,0.9701,0.117446
62,0,0.0000,0.9696,0.086222
63,0,0.0000,0.9691,0.072185
64,0,0.0000,0.9686,0.060037
65,0,0.0000,0.9681,0.082281
66,0,0.0000,0.9677,0.087260
67,0,0.0000,0.9672,0.089564
68,0,0.0000,0.9667,0.062559
