episode,score,mean_score,epsilon,loss
1,0,0.0000,0.9995,
2,0,0.0000,0.9990,
3,0,0.0000,0.9985,
4,0,0.0000,0.9980,
5,0,0.0000,0.9976,
6,0,0.0000,0.9971,2.032055
7,0,0.0000,0.9966,1.892680
8,0,0.0000,0.9961,2.300391
9,0,0.0000,0.9956,1.634344
10,0,0.0000,0.9951,1.091005
11,0,0.0000,0.9946,1.377867
12,0,0.0000,0.9941,2.077165
13,0,0.0000,0.9936,1.109163
14,0,0.0000,0.9931,1.631611
15,0,0.0000,0.9927,1.258262
16,0,0.0000,0.9922,1.408928
17,0,0.0000,0.9917,1.373528
18,0,0.0000,0.9912,0.906437
19,0,0.0000,0.9907,0.535854
20,0,0.0000,0.9902,1.395860
21,0,0.0000,0.9897,0.648686
22,0,0.0000,0.9892,0.959220
23,0,0.0000,0.9887,0.660191
24,0,0.0000,0.9882,0.677226
25,0,0.0000,0.9878,0.615716
26,0,0.0000,0.9873,0.643517
27,0,0.0000,0.9868,0.611494
28,0,0.0000,0.9863,0.234734
29,0,0.0000,0.9858,0.084805
30,0,0.0000,0.9853,0.223785
31,0,0.0000,0.9848,0.066798
32,0,0.0000,0.9843,0.032671
33,0,0.0000,0.9838,0.318213
34,0,0.0000,0.9833,0.217671
35,0,0.0000,0.9829,0.051340
36,0,0.0000,0.9824,0.072654
37,0,0.0000,0.9819,0.048975
38,0,0.0000,0.9814,0.026730
39,0,0.0000,0.9809,0.060821
40,0,0.0000,0.9804,0.123274
41,0,0.0000,0.9799,0.052687
42,0,0.0000,0.9794,0.056115
43,0,0.0000,0.9789,0.074132
44,0,0.0000,0.9784,0.068303
45,0,0.0000,0.9779,0.071136
46,0,0.0000,0.9775,0.056789
47,0,0.0000,0.9770,0.080384
48,0,0.0000,0.9765,0.442832
49,0,0.0000,0.9760,0.163590
50,0,0.0000,0.9755,0.246293
51,0,0.0000,0.9750,0.284679
52,0,0.0000,0.9745,0.115107
53,0,0.0000,0.9740,0.120337
54,0,0.0000,0.9735,0.233708
55,0,0.0000,0.9730,0.126687
56,0,0.0000,0.9726,0.106774
57,0,0.0000,0.9721,0.107636
58,0,0.0000,0.9716,0.233915
59,0,0.0000,0.9711,0.126831
60,0,0.0000,0.9706,0.110461
61,0,0.0000,0.9701,0.120774
62,0,0.0000,0.9696,0.110231
63,0,0.0000,0.9691,0.134510
64,0,0.0000,0.9686,0.108248
65,0,0.0000,0.9681,0.126264
66,0,0.0000,0.9677,0.066242
67,0,0.0000,0.9672,0.054582
68,0,0.0000,0.9667,0.062235
