episode,score,mean_score,epsilon,loss
169,0,0.0000,0.9172,0.004732
170,0,0.0000,0.9167,0.002620
171,0,0.0000,0.9162,0.002316
172,0,0.0000,0.9157,0.001406
173,0,0.0000,0.9152,0.002954
174,0,0.0000,0.9147,0.002755
175,0,0.0000,0.9143,0.002066
176,0,0.0000,0.9138,0.002514
177,0,0.0000,0.9133,0.003265
178,0,0.0000,0.9128,0.003311
179,0,0.0000,0.9123,0.003104
180,0,0.0000,0.9118,0.001855
181,0,0.0000,0.9113,0.002069
182,0,0.0000,0.9108,0.001747
183,0,0.0000,0.9103,0.004290
184,0,0.0000,0.9098,0.002160
185,0,0.0000,0.9093,0.003530
186,0,0.0000,0.9089,0.003801
187,0,0.0000,0.9084,0.002455
188,0,0.0000,0.9079,0.005351
189,0,0.0000,0.9074,0.005117
190,0,0.0000,0.9069,0.004221
191,0,0.0000,0.9064,0.002852
192,0,0.0000,0.9059,0.002323
193,0,0.0000,0.9054,0.001452
194,0,0.0000,0.9049,0.002181
195,0,0.0000,0.9044,0.002347
196,0,0.0000,0.9040,0.002486
197,0,0.0000,0.9035,0.004214
198,0,0.0000,0.9030,0.012120
199,0,0.0000,0.9025,0.004125
200,0,0.0000,0.9020,0.002116
201,0,0.0000,0.9015,0.003682
202,0,0.0000,0.9010,0.002750
203,0,0.0000,0.9005,0.002646
204,0,0.0000,0.9000,0.001456
205,0,0.0000,0.8995,0.002412
206,0,0.0000,0.8991,0.003627
207,0,0.0000,0.8986,0.001311
208,0,0.0000,0.8981,0.080980
209,0,0.0000,0.8976,0.006071
210,0,0.0000,0.8971,0.001741
211,0,0.0000,0.8966,0.004060
212,0,0.0000,0.8961,0.003590
213,0,0.0000,0.8956,0.003677
214,0,0.0000,0.8951,0.003780
215,0,0.0000,0.8946,0.001957
216,0,0.0000,0.8942,0.003719
217,0,0.0000,0.8937,0.004099
218,0,0.0000,0.8932,0.003405
219,0,0.0000,0.8927,0.007980
220,0,0.0000,0.8922,0.002125
221,0,0.0000,0.8917,0.004577
222,0,0.0000,0.8912,0.009049
223,0,0.0000,0.8907,0.002962
224,0,0.0000,0.8902,0.002499
225,0,0.0000,0.8898,0.003175
226,0,0.0000,0.8893,0.011282
227,0,0.0000,0.8888,0.005613
228,0,0.0000,0.8883,0.003244
229,0,0.0000,0.8878,0.029442
230,0,0.0000,0.8873,0.007916
231,0,0.0000,0.8868,0.001950
232,0,0.0000,0.8863,0.004358
233,0,0.0000,0.8858,0.001544
234,0,0.0000,0.8853,0.004086
235,0,0.0000,0.8849,0.003060
236,0,0.0000,0.8844,0.002645
237,0,0.0000,0.8839,0.002905
238,0,0.0000,0.8834,0.001129
239,0,0.0000,0.8829,0.004195
240,0,0.0000,0.8824,0.005590
241,0,0.0000,0.8819,0.006867
242,0,0.0000,0.8814,0.003667
243,0,0.0000,0.8809,0.005381
244,0,0.0000,0.8804,0.001117
245,0,0.0000,0.8800,0.006872
246,0,0.0000,0.8795,0.002188
247,0,0.0000,0.8790,0.005787
248,0,0.0000,0.8785,0.167499
249,0,0.0000,0.8780,0.004075
250,0,0.0000,0.8775,0.035211
251,0,0.0000,0.8770,0.005331
252,0,0.0000,0.8765,0.003955
253,0,0.0000,0.8760,0.003008
254,0,0.0000,0.8755,0.004578
255,0,0.0000,0.8750,0.004308
256,0,0.0000,0.8746,0.001893
257,0,0.0000,0.8741,0.002796
258,0,0.0000,0.8736,0.002563
259,0,0.0000,0.8731,0.001538
260,0,0.0000,0.8726,0.007714
261,0,0.0000,0.8721,0.005283
262,0,0.0000,0.8716,0.002492
263,0,0.0000,0.8711,0.002930
264,0,0.0000,0.8706,0.008788
265,0,0.0000,0.8701,0.003417
266,0,0.0000,0.8697,0.004162
267,0,0.0000,0.8692,0.002294
268,0,0.0000,0.8687,0.024737
269,0,0.0000,0.8682,0.004970
270,0,0.0000,0.8677,0.004944
271,0,0.0000,0.8672,0.006932
272,0,0.0000,0.8667,0.010543
273,0,0.0000,0.8662,0.004796
274,0,0.0000,0.8657,0.003130
275,0,0.0000,0.8652,0.005381
276,0,0.0000,0.8648,0.002838
277,0,0.0000,0.8643,0.004864
278,0,0.0000,0.8638,0.004424
279,0,0.0000,0.8633,0.002176
280,0,0.0000,0.8628,0.007613
281,0,0.0000,0.8623,0.004350
282,0,0.0000,0.8618,0.008664
283,0,0.0000,0.8613,0.004234
284,0,0.0000,0.8608,0.003502
285,0,0.0000,0.8603,0.005961
286,0,0.0000,0.8599,0.003020
287,0,0.0000,0.8594,0.002230
288,0,0.0000,0.8589,0.002000
289,0,0.0000,0.8584,0.002473
290,0,0.0000,0.8579,0.252727
291,0,0.0000,0.8574,0.004601
292,0,0.0000,0.8569,0.024783
293,0,0.0000,0.8564,0.005972
294,0,0.0000,0.8559,0.003838
295,0,0.0000,0.8555,0.002256
296,0,0.0000,0.8550,0.004663
297,0,0.0000,0.8545,0.007403
298,0,0.0000,0.8540,0.002922
299,0,0.0000,0.8535,0.011857
300,0,0.0000,0.8530,0.002473
301,0,0.0000,0.8525,0.002499
302,0,0.0000,0.8520,0.002463
303,0,0.0000,0.8515,0.007593
304,0,0.0000,0.8510,0.008032
305,0,0.0000,0.8506,0.005476
306,0,0.0000,0.8501,0.003907
307,0,0.0000,0.8496,0.006790
308,0,0.0000,0.8491,0.005347
309,0,0.0000,0.8486,0.003162
310,0,0.0000,0.8481,0.003011
311,0,0.0000,0.8476,0.018810
312,0,0.0000,0.8471,0.015046
313,0,0.0000,0.8466,0.016013
314,0,0.0000,0.8461,0.013061
315,0,0.0000,0.8457,0.003288
316,0,0.0000,0.8452,0.326905
317,0,0.0000,0.8447,0.004622
318,0,0.0000,0.8442,0.003373
319,0,0.0000,0.8437,0.001686
320,0,0.0000,0.8432,0.003395
321,0,0.0000,0.8427,0.004117
322,0,0.0000,0.8422,0.002258
323,0,0.0000,0.8417,0.002390
324,0,0.0000,0.8412,0.006303
325,0,0.0000,0.8407,0.001398
326,0,0.0000,0.8403,0.002904
327,0,0.0000,0.8398,0.005783
328,0,0.0000,0.8393,0.003696
329,0,0.0000,0.8388,0.005722
330,0,0.0000,0.8383,0.003290
331,0,0.0000,0.8378,0.003668
332,0,0.0000,0.8373,0.003412
333,0,0.0000,0.8368,0.006763
334,0,0.0000,0.8363,0.022301
335,0,0.0000,0.8358,0.004608
336,0,0.0000,0.8354,0.015959
337,0,0.0000,0.8349,0.007216
338,0,0.0000,0.8344,0.006127
339,0,0.0000,0.8339,0.006907
340,0,0.0000,0.8334,0.009797
341,0,0.0000,0.8329,0.006108
342,0,0.0000,0.8324,0.002690
343,0,0.0000,0.8319,0.005702
344,0,0.0000,0.8314,0.022301
345,0,0.0000,0.8310,0.006905
346,0,0.0000,0.8305,0.003574
347,0,0.0000,0.8300,0.005900
348,0,0.0000,0.8295,0.005343
349,0,0.0000,0.8290,0.003415
350,0,0.0000,0.8285,0.008027
351,0,0.0000,0.8280,0.002577
352,0,0.0000,0.8275,0.004185
353,0,0.0000,0.8270,0.012617
354,0,0.0000,0.8265,0.005423
355,0,0.0000,0.8260,0.009825
356,0,0.0000,0.8256,0.294928
357,0,0.0000,0.8251,0.002959
358,0,0.0000,0.8246,0.006102
359,0,0.0000,0.8241,0.009400
360,0,0.0000,0.8236,0.002584
361,0,0.0000,0.8231,0.004468
362,0,0.0000,0.8226,0.006419
363,0,0.0000,0.8221,0.002330
364,0,0.0000,0.8216,0.007612
365,0,0.0000,0.8212,0.003871
366,0,0.0000,0.8207,0.012411
367,0,0.0000,0.8202,0.005528
368,0,0.0000,0.8197,0.007149
369,0,0.0000,0.8192,0.020729
370,0,0.0000,0.8187,0.008920
371,0,0.0000,0.8182,0.002350
372,0,0.0000,0.8177,0.001506
373,0,0.0000,0.8172,0.006051
374,0,0.0000,0.8167,0.010243
375,0,0.0000,0.8163,0.003906
376,0,0.0000,0.8158,0.004101
377,0,0.0000,0.8153,0.003777
378,0,0.0000,0.8148,0.008237
379,0,0.0000,0.8143,0.426235
380,0,0.0000,0.8138,0.004908
381,0,0.0000,0.8133,0.011314
382,0,0.0000,0.8128,0.017382
383,0,0.0000,0.8123,0.016076
384,0,0.0000,0.8118,0.002982
385,0,0.0000,0.8114,0.002302
386,0,0.0000,0.8109,0.017863
387,0,0.0000,0.8104,0.010602
388,0,0.0000,0.8099,0.003369
389,0,0.0000,0.8094,0.003813
390,0,0.0000,0.8089,0.003490
391,0,0.0000,0.8084,0.008710
392,0,0.0000,0.8079,0.006958
393,0,0.0000,0.8074,0.019435
394,0,0.0000,0.8069,0.018545
395,0,0.0000,0.8065,0.014272
396,0,0.0000,0.8060,0.005822
397,0,0.0000,0.8055,0.011343
